"Moravske Toplice";"Skupine nastanitvenih objektov - SKUPAJ";"DOMAÈI";68822;263985;74020;283424;76996;280462;90231;313623;80961;290390;80864;283374;80569;274204;82255;273633
"Moravske Toplice";"Skupine nastanitvenih objektov - SKUPAJ";"TUJI";59293;224568;58113;219601;56713;213833;53517;209144;54899;218475;54938;213504;57859;218065;59542;218756
"Moravske Toplice";"Hoteli in podobni nastanitveni objekti";"DOMAÈI";33099;109411;38302;130353;42399;137215;56378;178563;49291;164246;48292;159475;48867;156887;44493;141851
"Moravske Toplice";"Hoteli in podobni nastanitveni objekti";"TUJI";43179;153030;41569;148667;40816;144785;38962;144507;40943;156444;41380;153762;43954;159840;43204;154188
"Moravske Toplice";"Kampi";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Moravske Toplice";"Kampi";"TUJI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Moravske Toplice";"Ostali nastanitveni objekti";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Moravske Toplice";"Ostali nastanitveni objekti";"TUJI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Podèetrtek";"Skupine nastanitvenih objektov - SKUPAJ";"DOMAÈI";68027;272147;66250;267581;67198;263925;63839;245174;57688;219106;57809;212206;55609;201741;57061;200015
"Podèetrtek";"Skupine nastanitvenih objektov - SKUPAJ";"TUJI";23496;87252;22484;83253;27650;93684;30775;103854;32392;113094;35393;119395;37073;121963;37470;117980
"Podèetrtek";"Hoteli in podobni nastanitveni objekti";"DOMAÈI";36632;137671;36111;137891;37504;141218;35095;128549;30704;109422;31114;107672;29428;101922;30321;101888
"Podèetrtek";"Hoteli in podobni nastanitveni objekti";"TUJI";20440;71938;19254;68365;24827;85122;28008;94526;29150;101226;31565;104933;32583;104505;33190;102424
"Podèetrtek";"Kampi";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Podèetrtek";"Kampi";"TUJI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Podèetrtek";"Ostali nastanitveni objekti";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Podèetrtek";"Ostali nastanitveni objekti";"TUJI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Ptuj";"Skupine nastanitvenih objektov - SKUPAJ";"DOMAÈI";25810;75830;25085;76626;26088;77378;25369;74798;24032;69402;23268;65246;26214;70660;27026;77555
"Ptuj";"Skupine nastanitvenih objektov - SKUPAJ";"TUJI";30220;68305;27529;62395;27230;61554;30139;73022;31795;78179;31085;69492;30399;65748;32101;68145
"Ptuj";"Hoteli in podobni nastanitveni objekti";"DOMAÈI";9966;21651;9171;21649;8127;19210;7660;18241;7624;17120;z;z;z;z;z;z
"Ptuj";"Hoteli in podobni nastanitveni objekti";"TUJI";13244;29736;12597;29856;11884;29200;13357;34591;12627;34234;z;z;z;z;z;z
"Ptuj";"Kampi";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Ptuj";"Kampi";"TUJI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Ptuj";"Ostali nastanitveni objekti";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;10628;33421;9860;29675;9397;26880
"Ptuj";"Ostali nastanitveni objekti";"TUJI";z;z;z;z;z;z;z;z;z;z;6016;12295;6231;12406;6016;11475
"Radenci";"Skupine nastanitvenih objektov - SKUPAJ";"DOMAÈI";15282;60054;17902;68325;17854;67615;18040;67707;18108;65645;16208;61600;19010;67629;23908;76703
"Radenci";"Skupine nastanitvenih objektov - SKUPAJ";"TUJI";13562;55032;13445;53674;12599;50556;14132;58652;14983;71726;16379;67030;17586;65076;17754;61536
"Radenci";"Hoteli in podobni nastanitveni objekti";"DOMAÈI";14097;57167;16728;65598;17339;66523;17447;66560;17307;64192;15049;59527;18320;66572;23138;75236
"Radenci";"Hoteli in podobni nastanitveni objekti";"TUJI";12623;52797;12590;51473;12351;49864;13807;57202;14634;70974;15808;65880;16902;63724;16916;59889
"Radenci";"Kampi";"DOMAÈI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Radenci";"Kampi";"TUJI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Radenci";"Ostali nastanitveni objekti";"DOMAÈI";1185;2887;1174;2727;515;1092;593;1147;801;1453;1159;2073;690;1057;770;1467
"Radenci";"Ostali nastanitveni objekti";"TUJI";939;2235;855;2201;248;692;325;1450;349;752;571;1150;684;1352;838;1647
"Rogaška Slatina";"Skupine nastanitvenih objektov - SKUPAJ";"DOMAÈI";19844;99710;19684;85263;13201;59919;11964;55487;9561;46281;9565;40557;9496;36273;11374;39589
"Rogaška Slatina";"Skupine nastanitvenih objektov - SKUPAJ";"TUJI";31956;181096;29339;179642;28537;191576;30646;210441;30685;232278;28499;220329;28776;212654;27918;183995
"Rogaška Slatina";"Hoteli in podobni nastanitveni objekti";"DOMAÈI";18853;96009;18378;81334;12322;56864;10871;51888;8250;42657;8235;36826;8492;34056;10189;36679
"Rogaška Slatina";"Hoteli in podobni nastanitveni objekti";"TUJI";31230;178660;29017;178505;28248;189990;29836;207457;29479;228079;27056;214285;27240;206094;26218;177019
"Rogaška Slatina";"Kampi";"DOMAÈI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Rogaška Slatina";"Kampi";"TUJI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Rogaška Slatina";"Ostali nastanitveni objekti";"DOMAÈI";991;3701;1306;3929;879;3055;1093;3599;1311;3624;1330;3731;1004;2217;1185;2910
"Rogaška Slatina";"Ostali nastanitveni objekti";"TUJI";726;2436;322;1137;289;1586;810;2984;1206;4199;1443;6044;1536;6560;1700;6976
"Šmarješke Toplice";"Skupine nastanitvenih objektov - SKUPAJ";"DOMAÈI";11201;81464;10221;76835;11164;81013;11213;77419;9763;68959;9132;66131;9502;64930;9363;61791
"Šmarješke Toplice";"Skupine nastanitvenih objektov - SKUPAJ";"TUJI";9055;35781;6400;27784;6386;24522;6718;27710;6654;26879;6656;26601;7766;28152;7873;30540
"Šmarješke Toplice";"Hoteli in podobni nastanitveni objekti";"DOMAÈI";10922;80631;z;z;10810;80367;11020;76953;z;z;z;z;z;z;z;z
"Šmarješke Toplice";"Hoteli in podobni nastanitveni objekti";"TUJI";8976;35568;z;z;6325;24370;6558;27245;z;z;z;z;z;z;z;z
"Šmarješke Toplice";"Kampi";"DOMAÈI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Šmarješke Toplice";"Kampi";"TUJI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Šmarješke Toplice";"Ostali nastanitveni objekti";"DOMAÈI";279;833;z;z;354;646;193;466;z;z;z;z;z;z;z;z
"Šmarješke Toplice";"Ostali nastanitveni objekti";"TUJI";79;213;z;z;61;152;160;465;z;z;z;z;z;z;z;z
"Šoštanj";"Skupine nastanitvenih objektov - SKUPAJ";"DOMAÈI";12540;63160;13398;64494;z;z;14969;63980;18958;78083;17599;71011;20134;76757;21223;79288
"Šoštanj";"Skupine nastanitvenih objektov - SKUPAJ";"TUJI";7115;33758;6309;29632;z;z;6761;30256;7850;34525;8124;35665;8283;34990;7669;30564
"Šoštanj";"Hoteli in podobni nastanitveni objekti";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Šoštanj";"Hoteli in podobni nastanitveni objekti";"TUJI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Šoštanj";"Kampi";"DOMAÈI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Šoštanj";"Kampi";"TUJI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Šoštanj";"Ostali nastanitveni objekti";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Šoštanj";"Ostali nastanitveni objekti";"TUJI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Veržej";"Skupine nastanitvenih objektov - SKUPAJ";"DOMAÈI";26438;99308;25078;96497;24458;94323;25139;92205;23048;83973;23230;80301;24515;82760;24400;80739
"Veržej";"Skupine nastanitvenih objektov - SKUPAJ";"TUJI";5002;19723;5222;20266;4399;19052;4423;20012;4769;19988;4962;21810;5096;21169;5163;21065
"Veržej";"Hoteli in podobni nastanitveni objekti";"DOMAÈI";8415;23622;7527;22584;10725;35593;z;z;z;z;11335;33681;12792;37713;13308;38025
"Veržej";"Hoteli in podobni nastanitveni objekti";"TUJI";1817;5669;1868;5902;1941;7248;z;z;z;z;2190;8433;2337;8520;2324;8020
"Veržej";"Kampi";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Veržej";"Kampi";"TUJI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Veržej";"Ostali nastanitveni objekti";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Veržej";"Ostali nastanitveni objekti";"TUJI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Zreèe";"Skupine nastanitvenih objektov - SKUPAJ";"DOMAÈI";43803;171828;40745;161846;44974;174564;41792;160637;42443;157172;39660;150812;37470;140506;40966;145986
"Zreèe";"Skupine nastanitvenih objektov - SKUPAJ";"TUJI";20703;78402;17487;66994;16339;60775;16507;59548;17899;67772;19003;73572;17438;69203;18888;67520
"Zreèe";"Hoteli in podobni nastanitveni objekti";"DOMAÈI";21848;89243;20629;86179;19937;83627;19863;79412;20738;81385;18882;75620;18373;73168;21270;79321
"Zreèe";"Hoteli in podobni nastanitveni objekti";"TUJI";12477;46937;9949;38761;9947;36903;9597;34095;11005;40904;12238;45092;10736;42556;12543;43591
"Zreèe";"Kampi";"DOMAÈI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Zreèe";"Kampi";"TUJI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Zreèe";"Ostali nastanitveni objekti";"DOMAÈI";21955;82585;20116;75667;25037;90937;21929;81225;21705;75787;20778;75192;19097;67338;19696;66665
"Zreèe";"Ostali nastanitveni objekti";"TUJI";8226;31465;7538;28233;6392;23872;6910;25453;6894;26868;6765;28480;6702;26647;6345;23929
"GORSKE OBÈINE";"Skupine nastanitvenih objektov - SKUPAJ";"DOMAÈI";243856;669502;261629;718041;257515;697705;276059;704939;269696;695922;260556;667255;226639;580949;275744;673161
"GORSKE OBÈINE";"Skupine nastanitvenih objektov - SKUPAJ";"TUJI";531376;1503397;485374;1349876;497852;1392705;548542;1514859;590184;1581436;631359;1692344;651540;1665084;760199;1881198
"GORSKE OBÈINE";"Hoteli in podobni nastanitveni objekti";"DOMAÈI";105238;256251;110953;280416;103950;256581;110142;261310;105184;257550;95390;229724;82105;194819;103481;241973
"GORSKE OBÈINE";"Hoteli in podobni nastanitveni objekti";"TUJI";341771;939340;306317;815947;312163;839357;333907;889390;352503;886675;364022;911107;382981;908185;418803;955338
"GORSKE OBÈINE";"Kampi";"DOMAÈI";15862;47756;18881;56676;18965;54421;23352;64074;25889;70565;24204;66840;15852;42891;25719;66266
"GORSKE OBÈINE";"Kampi";"TUJI";107618;336035;100828;311231;100699;304096;115811;340548;127241;377518;132953;407386;123195;353041;146679;412041
"GORSKE OBÈINE";"Ostali nastanitveni objekti";"DOMAÈI";122756;365495;131795;380949;134600;386703;142565;379555;138623;367807;140962;370691;128682;343239;146544;364922
