"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Francija";3849;11462;3734;12309;3805;11584;3414;9521;3916;12524;3498;10644;4001;12449;4531;13342
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Grèija";274;849;331;1082;163;554;303;1378;479;1418;205;600;222;531;404;1083
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Hrvaška";37732;118391;29320;94725;28073;88729;29985;96339;30127;88556;30629;89065;33833;91330;36480;99317
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Irska";716;2368;438;1369;469;1416;477;1672;303;1005;311;777;557;2186;607;2745
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Islandija";184;299;15;44;37;125;110;347;67;281;45;62;60;123;105;277
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Italija";74067;250286;78304;261819;79387;260256;83316;268844;78174;243306;72315;219047;75652;219937;82514;235247
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Latvija";536;1008;304;1080;139;606;237;849;218;1072;317;871;350;1178;399;1370
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Litva";280;570;224;640;168;638;129;365;243;955;226;850;244;651;306;1487
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Luksemburg";111;691;137;891;94;492;90;256;94;425;71;198;91;391;113;341
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Madžarska";7209;21488;6318;19280;6027;17360;6288;17783;6212;18022;6073;18029;6488;19255;7244;21930
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Makedonija";1660;5321;1433;4513;1769;4656;2190;5257;1607;4743;2169;4954;1571;5026;1836;5008
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Malta";211;962;30;106;73;286;29;111;116;445;121;373;35;106;263;1720
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Nemèija";24881;110581;21989;95638;22019;94367;22927;101680;25475;109518;24643;107572;24254;106388;26513;111012
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Nizozemska";8273;46458;8851;48046;7917;40532;9822;55596;13418;81603;14231;87047;13079;87636;12828;82978
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Norveška";470;1325;418;1245;311;925;419;1178;317;1158;321;873;273;747;337;1086
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Poljska";4064;10039;3367;8912;3815;12559;4193;13855;4353;14657;5656;19632;5825;19500;6285;20779
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Portugalska";275;713;219;791;280;483;340;859;374;1213;331;1219;387;1569;419;1491
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Romunija";1380;3255;1185;3494;1434;4414;1659;4684;1889;5935;1722;5745;1990;6498;2226;7376
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Ruska federacija";6494;62110;7154;72458;10159;109897;12521;129697;17204;198940;15799;167940;14750;152299;10145;91968
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Slovaška";1937;4976;1809;5132;1884;5078;1927;5238;2269;6079;2017;5682;1942;4831;2024;5314
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Srbija";6956;20879;9279;29221;20230;60942;19003;57674;18420;54592;18833;56199;18082;53101;18452;54339
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Španija";1416;3250;1228;2881;987;2428;1207;3168;1244;3556;1592;4921;1228;3344;1250;3573
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Švedska";1113;4265;1027;4073;836;3282;974;3785;1010;4198;1221;4193;1078;4587;1074;4291
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Švica";2384;8276;2019;7811;2097;7091;2039;6851;2219;8120;2221;7518;2350;7274;2674;7847
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Turèija";468;1305;410;1425;266;824;703;3724;567;2454;690;3519;511;2067;607;2049
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Ukrajina";1391;8946;1411;9662;1415;10668;2359;16460;4374;22977;5476;27281;3719;23422;2871;20153
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Združeno kraljestvo";3332;9952;2876;8914;2299;7189;2460;8399;2421;8612;2496;8828;2290;7651;2898;10093
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Druge evropske države";1080;4447;1288;6393;1192;6496;1886;12412;2347;16839;2570;19390;2914;17325;2165;12656
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Južna Afrika";17;46;34;93;29;63;54;292;42;90;29;92;69;122;33;91
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Druge afriške države";244;1370;81;329;69;283;257;1815;201;1262;199;1043;407;2503;455;3353
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Avstralija";595;1724;515;1409;451;1084;455;1124;454;1347;480;1316;414;1187;486;1108
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Nova Zelandija";87;147;92;345;128;257;62;118;83;134;59;140;60;202;86;295
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Druge države in ozemlja Oceanije";40;340;22;78;92;656;34;108;25;114;24;100;15;49;15;41
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Izrael";4392;18802;2547;12794;1905;11802;2483;14733;4149;22421;5263;28394;4519;26218;7033;36551
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Japonska";326;607;174;418;163;354;178;399;195;565;220;659;212;610;275;914
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Kitajska (Ljudska republika)";172;348;66;159;123;423;149;586;129;570;237;611;338;797;390;976
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Koreja (Republika)";134;164;41;104;28;113;70;334;75;284;202;313;987;1070;1835;2567
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Druge azijske države";493;4407;572;6883;563;4107;932;4841;1279;7892;1644;9219;2734;22133;2849;22517
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Brazilija";120;514;87;377;49;191;99;495;143;711;119;552;185;740;147;795
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Druge države Južne in Srednje Amerike";189;937;167;453;203;901;460;2375;364;2215;349;2212;292;1748;376;2020
