"Bled";"Skupine nastanitvenih objektov - SKUPAJ";...;2064;5149;4695;...;2092;4825;4347;...;2109;5630;5093;...;2148;5798;5219;...;2160;5856;5307;...;2142;5805;5230;...;2182;6077;5453;...;2237;6284;5693
"Bled";"Hoteli in podobni nastanitveni objekti";34;1397;3059;2686;34;1388;3060;2697;35;1404;3092;2741;36;1395;3101;2742;35;1386;3059;2715;36;1392;3064;2727;35;1401;3146;2809;34;1402;3131;2860
"Bled";"Kampi";1;280;756;756;1;280;280;280;1;280;1120;1120;1;280;1120;1120;1;280;1120;1120;1;280;1120;1120;1;280;1120;1120;1;280;1120;1120
"Bled";"Ostali nastanitveni objekti";...;387;1334;1253;...;424;1485;1370;...;425;1418;1232;...;473;1577;1357;...;494;1677;1472;...;470;1621;1383;...;501;1811;1524;...;555;2033;1713
"Bohinj";"Skupine nastanitvenih objektov - SKUPAJ";...;1797;6314;5757;...;1835;6571;6038;...;1922;6982;6429;...;1845;6665;6197;...;1908;6779;6316;...;1880;6748;6276;...;1845;6748;6183;...;1868;6799;6207
"Bohinj";"Hoteli in podobni nastanitveni objekti";18;524;1323;1107;19;622;1539;1331;18;588;1476;1270;17;542;1366;1211;18;536;1351;1226;17;486;1203;1084;17;447;1202;1048;19;508;1342;1172
"Bohinj";"Kampi";2;345;1160;1160;2;270;1160;1160;2;270;1160;1160;2;292;1160;1160;2;365;1250;1250;2;365;1250;1250;2;365;1250;1250;2;365;1250;1250
"Bohinj";"Ostali nastanitveni objekti";...;928;3831;3490;...;943;3872;3547;...;1064;4346;3999;...;1011;4139;3826;...;1007;4178;3840;...;1029;4295;3942;...;1033;4296;3885;...;995;4207;3785
"Bovec";"Skupine nastanitvenih objektov - SKUPAJ";...;1416;3931;3684;...;1388;3915;3662;...;1539;4755;4523;...;1500;4718;4488;...;1572;5039;4723;...;1554;4948;4641;...;1343;4385;4090;...;1333;4913;4523
"Bovec";"Hoteli in podobni nastanitveni objekti";15;368;816;788;16;381;855;827;15;377;833;817;12;366;795;784;13;377;852;829;13;380;848;824;10;188;445;417;12;204;498;473
"Bovec";"Kampi";11;660;1485;1475;11;660;1485;1475;12;760;2190;2170;12;740;2165;2165;13;750;2215;2215;14;774;2327;2287;13;721;2049;2009;12;671;1995;1864
"Bovec";"Ostali nastanitveni objekti";...;388;1630;1421;...;347;1575;1360;...;402;1732;1536;...;394;1758;1539;...;445;1972;1679;...;400;1773;1530;...;434;1891;1664;...;458;2420;2186
"Cerklje na Gorenjskem";"Skupine nastanitvenih objektov - SKUPAJ";...;209;659;601;...;226;730;672;...;221;729;670;...;215;725;662;...;225;781;710;...;244;771;701;...;245;762;679;...;238;773;687
"Cerklje na Gorenjskem";"Hoteli in podobni nastanitveni objekti";8;127;346;327;9;144;430;407;9;146;434;415;9;146;434;415;8;141;451;422;7;129;375;346;9;158;427;383;9;147;409;359
"Cerklje na Gorenjskem";"Kampi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Cerklje na Gorenjskem";"Ostali nastanitveni objekti";...;82;313;274;...;82;300;265;...;75;295;255;...;69;291;247;...;84;330;288;...;115;396;355;...;87;335;296;...;91;364;328
"Cerkno";"Skupine nastanitvenih objektov - SKUPAJ";...;162;454;337;...;163;455;340;...;163;458;341;...;157;440;325;...;163;468;344;...;161;451;332;...;154;423;302;...;172;502;380
"Cerkno";"Hoteli in podobni nastanitveni objekti";2;113;293;202;2;113;293;202;2;113;293;202;2;113;293;202;2;113;293;202;2;113;293;202;2;113;293;202;2;113;293;202
"Cerkno";"Kampi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Cerkno";"Ostali nastanitveni objekti";...;49;161;135;...;50;162;138;...;50;165;139;...;44;147;123;...;50;175;142;...;48;158;130;...;41;130;100;...;59;209;178
"Èrna na Koroškem";"Skupine nastanitvenih objektov - SKUPAJ";...;42;263;244;...;41;261;242;...;42;274;252;...;50;203;194;...;50;205;194;...;52;200;188;...;51;205;200;...;68;265;260
"Èrna na Koroškem";"Hoteli in podobni nastanitveni objekti";1;3;6;6;1;3;6;6;1;3;6;6;1;3;6;6;1;3;6;6;1;3;6;6;2;26;72;72;3;32;85;81
"Èrna na Koroškem";"Kampi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Èrna na Koroškem";"Ostali nastanitveni objekti";...;39;257;238;...;38;255;236;...;39;268;246;...;47;197;188;...;47;199;188;...;49;194;182;...;25;133;128;...;36;180;179
"Gorje";"Skupine nastanitvenih objektov - SKUPAJ";...;38;248;239;...;44;276;263;...;54;332;313;...;57;368;344;...;72;400;372;...;71;407;377;...;64;373;339;...;80;435;391
"Gorje";"Hoteli in podobni nastanitveni objekti";1;4;10;10;1;4;10;10;1;5;14;13;1;5;14;13;1;5;12;12;1;5;12;12;1;5;12;12;1;5;14;12
"Gorje";"Kampi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Gorje";"Ostali nastanitveni objekti";...;34;238;229;...;40;266;253;...;49;318;300;...;52;354;331;...;67;388;360;...;66;395;365;...;59;361;327;...;75;421;379
"Gornji Grad";"Skupine nastanitvenih objektov - SKUPAJ";...;26;103;97;...;21;95;89;...;14;79;73;...;14;79;73;...;21;89;81;...;30;112;103;...;31;108;105;...;28;99;97
"Gornji Grad";"Hoteli in podobni nastanitveni objekti";2;12;24;24;1;7;16;16;-;-;-;-;-;-;-;-;1;6;14;14;2;15;38;36;2;15;38;36;2;15;38;36
