"Prenoèitvene zmogljivosti po: OBÈINE, SKUPINE NASTANITVENIH OBJEKTOV,"
"LETO , MERITVE"

"ZDRAVILIŠKE OBÈINE"
" ";"Hoteli in podobni nastanitveni objekti"
" ";" ";"2008"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";181
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";758
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";698
" ";" ";"2015"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";191
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";797
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";726
" ";" ";"2016"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";191
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";807
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";733
"Dobrna"
" ";"Hoteli in podobni nastanitveni objekti"
" ";" ";"2008"
" ";" ";" ";"Število objektov";3
" ";" ";" ";"Število sob";247
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";399
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";399
" ";" ";"2009"
" ";" ";" ";"Število objektov";3
" ";" ";" ";"Število sob";247
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";399
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";399
" ";" ";"2010"
" ";" ";" ";"Število objektov";3
" ";" ";" ";"Število sob";247
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";399
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";399
" ";" ";"2011"
" ";" ";" ";"Število objektov";3
" ";" ";" ";"Število sob";247
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";399
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";399
" ";" ";"2012"
" ";" ";" ";"Število objektov";3
" ";" ";" ";"Število sob";248
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";399
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";399
" ";" ";"2013"
" ";" ";" ";"Število objektov";3
" ";" ";" ";"Število sob";248
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";399
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";399
" ";" ";"2014"
" ";" ";" ";"Število objektov";4
" ";" ";" ";"Število sob";263
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";433
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";429
" ";" ";"2015"
" ";" ";" ";"Število objektov";4
" ";" ";" ";"Število sob";263
